SowID,Treatment,FarrowDate,Onset,Piglet,End,FarrowTime,Induce,DueDate,GestationLength,TNB,SB,SB_perc,Trt1,tr2
13936,1,824,1:02:00 AM,3,8:22:00,7:20:00,0,824,115,22,2,0.090909091,,
14093,1,814,6:35:00 AM,3,9:00:00,2:25:00,0,810,119,3,0,0,,
14179,1,806,9:54:00 AM,3,16:48:00,6:54:00,0,805,116,18,0,0,,
14257,1,828,3:18:00 PM,3,18:50:00,3:32:00,0,827,116,18,2,0.111111111,,
14264,1,818,12:10:00 PM,3,18:00:00,5:50:00,0,816,117,18,1,0.055555556,,
15150,1,812,5:54:00 PM,3,21:15:00,3:21:00,0,810,117,10,3,0.3,,
15241,1,819,3:04:00 PM,3,17:12:00,2:08:00,0,818,116,13,1,0.076923077,,
15256,1,819,4:35:00 PM,3,21:06:00,4:31:00,0,817,117,15,1,0.066666667,,
4349,1,809,8:37:00 PM,4,0:17:00,3:40:00,0,807,117,10,0,0,,
7854,1,830,7:51:00 AM,4,,16:09:00,0,829,116,16,10,0.625,,
8030,1,796,4:19:00 PM,4,18:44:00,2:25:00,0,794,117,18,1,0.055555556,,
10121,1,825,2:47:00 AM,4,5:52:00,3:05:00,0,824,116,15,2,0.133333333,,
14696,1,795,2:36:00 PM,4,18:05:00,3:29:00,0,796,114,13,1,0.076923077,,
15055,1,816,12:07:00 AM,4,5:25:00,5:18:00,0,814,117,13,0,0,,
15285,1,810,6:21:00 PM,4,0:56:00,6:35:00,0,808,117,14,0,0,,
4170,1,810,6:13:00 PM,5,21:22:00,3:09:00,0,808,117,10,1,0.1,,
5396,1,800,4:30:00 AM,5,9:55:00,5:25:00,0,798,117,18,0,0,,
7028,1,826,10:03:00 PM,5,2:57:00,4:54:00,0,825,116,18,1,0.055555556,,
8996,1,809,3:42:00 PM,5,21:27:00,5:45:00,0,809,115,16,0,0,,
14241,1,807,12:58:00 PM,5,19:31:00,6:33:00,0,805,117,20,4,0.2,,
14994,1,806,12:59:00 PM,5,14:55:00,1:56:00,0,806,115,14,0,0,,
15141,1,811,6:08:00 PM,5,22:03:00,3:55:00,0,810,116,12,0,0,,
15243,1,811,4:01:00 PM,5,18:06:00,2:05:00,0,812,114,16,1,0.0625,,
5040,1,795,5:15:00 AM,6,17:50:00,12:35:00,0,794,116,16,1,0.0625,,
12837,1,822,5:30:00 AM,6,10:05:00,4:35:00,0,819,118,16,1,0.0625,,
13912,1,822,5:31:00 AM,6,10:05:00,4:34:00,0,819,118,15,3,0.2,,
4091,1,804,2:42:00 AM,7,6:30:00,3:48:00,0,801,118,12,0,0,,
6154,1,795,6:15:00 PM,7,23:45:00,5:30:00,0,797,113,16,1,0.0625,,
10288,1,817,2:48:00 AM,7,6:40:00,3:52:00,0,814,118,19,5,0.263157895,,
10289,1,825,9:37:00 PM,7,23:40:00,2:03:00,0,823,117,22,2,0.090909091,,
15191,1,816,1:49:00 PM,7,15:32:00,1:43:00,0,817,114,13,3,0.230769231,,
11943,1,812,7:26:00 PM,8,21:01:00,1:35:00,0,810,117,17,4,0.235294118,,
14184,1,812,7:32:00 PM,9,21:13:00,1:41:00,0,812,115,17,0,0,,
6944,1,823,9:21:00 PM,10,23:53:00,2:32:00,0,822,116,18,1,0.055555556,,
12717,1,826,10:09:00 PM,10,23:06:00,0:57:00,0,826,115,17,1,0.058823529,,
14176,1,826,11:02:00 AM,10,23:53:00,12:51:00,0,825,116,23,1,0.043478261,,
15073,1,808,8:25:00 PM,11,22:55:00,2:30:00,0,809,114,18,0,0,,
15303,1,825,10:05:00 PM,11,3:12:00,5:07:00,0,828,112,18,2,0.111111111,,
3995,2,799,1:48:00 PM,1,18:41:00,4:53:00,0,798,116,18,2,0.111111111,,
4322,2,812,9:44:00 AM,1,12:30:00,2:46:00,0,812,115,13,0,0,,
4353,2,803,3:15:00 PM,1,17:29:00,2:14:00,0,801,117,16,1,0.0625,,
4494,2,817,4:28:00 PM,1,3:49:00,11:21:00,0,818,114,#N/A,#N/A,#N/A,,
4911,2,803,3:16:00 PM,1,0:58:00,9:42:00,0,802,116,16,4,0.25,,
4991,2,795,1:17:00 PM,1,17:52:00,4:35:00,0,794,116,15,1,0.066666667,,
5120,2,812,4:54:00 PM,1,21:01:00,4:07:00,0,810,117,14,3,0.214285714,,
5135,2,810,1:47:00 PM,1,1:50:00,12:03:00,0,810,115,13,3,0.230769231,,
5406,2,819,6:06:00 AM,1,15:54:00,9:48:00,0,819,115,19,3,0.157894737,,
5418,2,813,9:01:00 AM,1,0:15:00,15:14:00,0,809,119,9,2,0.222222222,,
5509,2,797,3:19:00 PM,1,0:07:00,8:48:00,0,796,116,15,1,0.066666667,,
5710,2,797,4:58:00 AM,1,12:22:00,7:24:00,0,795,117,19,1,0.052631579,,
5781,2,811,12:46:00 PM,1,17:21:00,4:35:00,0,811,115,#N/A,#N/A,#N/A,,
5792,2,826,5:43:00 AM,1,12:52:00,7:09:00,0,827,114,18,0,0,,
5822,2,829,8:55:00 AM,1,14:50:00,5:55:00,0,829,115,13,4,0.307692308,,
5864,2,826,2:34:00 AM,1,7:10:00,4:36:00,0,824,117,20,5,0.25,,
