SowID,Treatment,FarrowDate,Onset,Piglet,End,FarrowTime,Induce,DueDate,GestationLength,TNB,SB,SB_perc,Start_H,Start_M,Start_Minutes,Finish_H,Finish_M,Finish_Minutes,Duration,Factor
4322,2,812,1899-12-31T09:44:00Z,1,1899-12-31T12:30:00Z,1900-01-01T02:46:00Z,0,812,115,13,0,0,09,44,584,12,30,750,166,1
4353,2,803,1899-12-31T15:15:00Z,1,1899-12-31T17:29:00Z,1900-01-01T02:14:00Z,0,801,117,16,1,0.0625,15,15,915,17,29,1049,134,1
4911,2,803,1899-12-31T15:16:00Z,1,1899-12-31T00:58:00Z,1899-12-31T09:42:00Z,0,802,116,16,4,0.25,15,16,916,00,58,58,582,1
4991,2,795,1899-12-31T13:17:00Z,1,1899-12-31T17:52:00Z,1900-01-01T04:35:00Z,0,794,116,15,1,0.06666666666666667,13,17,797,17,52,1072,275,1
5120,2,812,1899-12-31T16:54:00Z,1,1899-12-31T21:01:00Z,1900-01-01T04:07:00Z,0,810,117,14,3,0.21428571428571427,16,54,1014,21,01,1261,247,1
5135,2,810,1899-12-31T13:47:00Z,1,1899-12-31T01:50:00Z,1899-12-31T12:03:00Z,0,810,115,13,3,0.23076923076923078,13,47,827,01,50,110,723,1
5406,2,819,1899-12-31T06:06:00Z,1,1899-12-31T15:54:00Z,1900-01-01T09:48:00Z,0,819,115,19,3,0.15789473684210525,06,06,366,15,54,954,588,1
5418,2,813,1899-12-31T09:01:00Z,1,1899-12-31T00:15:00Z,1899-12-31T15:14:00Z,0,809,119,9,2,0.2222222222222222,09,01,541,00,15,15,914,1
5509,2,797,1899-12-31T15:19:00Z,1,1899-12-31T00:07:00Z,1899-12-31T08:48:00Z,0,796,116,15,1,0.06666666666666667,15,19,919,00,07,7,528,1
5710,2,797,1899-12-31T04:58:00Z,1,1899-12-31T12:22:00Z,1900-01-01T07:24:00Z,0,795,117,19,1,0.05263157894736842,04,58,298,12,22,742,444,1
5792,2,826,1899-12-31T05:43:00Z,1,1899-12-31T12:52:00Z,1900-01-01T07:09:00Z,0,827,114,18,0,0,05,43,343,12,52,772,429,1
5822,2,829,1899-12-31T08:55:00Z,1,1899-12-31T14:50:00Z,1900-01-01T05:55:00Z,0,829,115,13,4,0.3076923076923077,08,55,535,14,50,890,355,1
5864,2,826,1899-12-31T02:34:00Z,1,1899-12-31T07:10:00Z,1900-01-01T04:36:00Z,0,824,117,20,5,0.25,02,34,154,07,10,430,276,1
5865,2,796,1899-12-31T07:25:00Z,1,1899-12-31T14:10:00Z,1900-01-01T06:45:00Z,0,793,118,14,1,0.07142857142857142,07,25,445,14,10,850,405,1
5902,2,807,1899-12-31T13:36:00Z,1,1899-12-31T19:32:00Z,1900-01-01T05:56:00Z,0,806,116,15,0,0,13,36,816,19,32,1172,356,1
5948,2,815,1899-12-31T11:25:00Z,1,1899-12-31T13:51:00Z,1900-01-01T02:26:00Z,0,814,116,12,0,0,11,25,685,13,51,831,146,1
6161,2,808,1899-12-31T13:39:00Z,1,1899-12-31T18:46:00Z,1900-01-01T05:07:00Z,0,806,117,20,3,0.15,13,39,819,18,46,1126,307,1
6161,2,808,1899-12-31T13:39:00Z,1,1899-12-31T18:00:00Z,1900-01-01T04:21:00Z,0,806,117,20,3,0.15,13,39,819,18,00,1080,261,1
6168,2,812,1899-12-31T18:00:00Z,1,1899-12-31T21:15:00Z,1900-01-01T03:15:00Z,0,812,115,11,0,0,18,00,1080,21,15,1275,195,1
6241,2,810,1899-12-31T00:27:00Z,1,1899-12-31T09:30:00Z,1900-01-01T09:03:00Z,0,807,118,16,2,0.125,00,27,27,09,30,570,543,1
6255,2,818,1899-12-31T05:51:00Z,1,1899-12-31T09:20:00Z,1900-01-01T03:29:00Z,0,816,117,15,0,0,05,51,351,09,20,560,209,1
6338,2,810,1899-12-31T13:52:00Z,1,1899-12-31T21:29:00Z,1900-01-01T07:37:00Z,0,807,118,20,1,0.05,13,52,832,21,29,1289,457,1
6384,2,795,1899-12-31T19:30:00Z,1,1899-12-31T01:30:00Z,1899-12-31T06:00:00Z,0,794,116,17,2,0.11764705882352941,19,30,1170,01,30,90,360,1
6473,2,807,1899-12-31T23:38:00Z,1,1899-12-31T15:28:00Z,1899-12-31T15:50:00Z,0,805,117,12,0,0,23,38,1418,15,28,928,950,1
6611,2,796,1899-12-31T09:30:00Z,1,1899-12-31T14:02:00Z,1900-01-01T04:32:00Z,0,793,118,20,2,0.1,09,30,570,14,02,842,272,1
6647,2,810,1899-12-31T12:10:00Z,1,1899-12-31T15:11:00Z,1900-01-01T03:01:00Z,0,810,115,20,1,0.05,12,10,730,15,11,911,181,1
6910,2,827,1899-12-31T07:03:00Z,1,1899-12-31T14:30:00Z,1900-01-01T07:27:00Z,0,827,115,4,0,0,07,03,423,14,30,870,447,1
6969,2,807,1899-12-31T06:30:00Z,1,1899-12-31T11:19:00Z,1900-01-01T04:49:00Z,0,805,117,22,1,0.045454545454545456,06,30,390,11,19,679,289,1
